number_plate,image_link,detected_number_plate,rider_violation,pillion_violation,mobile_usage,triple_riding,message,Result,Manual Observation,Capture Status,Capture Observation
KA53EM3358,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA53EM3358_1763523746909.jpg,KA53EM3358,rider_not_wearing_helmet (0.43),,,,Violation detected,Correct Detection,the rider is not wearing the helmet,None,
KA09Y9336,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09Y9336_1763523164197.jpg,KA09JL9336,,pillion_not_wearing_helmet (0.50),,,Violation detected,Correct Detection,th pillion is not wearing the helemt,None,
KA09H9590,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H9590_1763525249057.jpg,KA09HI9590,rider_not_wearing_helmet (0.68),,,,Violation detected,Correct Detection,number plate detected wrongly,None,
KA09H9590,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H9590_1763525249057.jpg,KA55H7385,,pillion_not_wearing_helmet (0.59),,,Violation detected,Incomplete,rider is not wearing the helmet,None,
KA09HP4305,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HP4305_1763524381621.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,both rider and pillion wearing the helmet,Correct,
KA04HF3425,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA04HF3425_1763525020599.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,"rider is not wearing the helmet, wearing cap",Ignored,
KA01EQ5101,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01EQ5101_1763525020617.jpg,KA09EO5107,,pillion_not_wearing_helmet (0.36),,,Violation detected,Incomplete,"not detected triple riding, overlap head",None,
KA09HE3610,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HE3610_1763531039872.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,the rider is wearing the helmet,Correct,
KA09EH4076,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EH4076_1763524721120.jpg,KA09EH2076,rider_not_wearing_helmet (0.68),,,,Violation detected,Correct Detection, mobile usage is not detected,None,
KA55W1266,e count ,KA559W1266,rider_not_wearing_helmet (0.44),pillion_not_wearing_helmet (0.72),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09EE8434,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EE8434_1763522671633.jpg,KAOSEE8434,rider_not_wearing_helmet (0.62),,,,Violation detected,Incomplete,"wrong number plate detected, detection correct",None,
KA09EZ4883,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EZ4883_1763522097130.jpg,KA09EZ7883,,pillion_not_wearing_helmet (0.73),,,Violation detected,Incomplete,"rider is not wearing the helmet, wearing cap",None,
KA55S4390,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55S4390_1763523505887.jpg,KA554390,,pillion_not_wearing_helmet (0.64),,,Violation detected,Incomplete,"rider is not wearing the helmet and wrong number plate detected, wearin cap",None,
KA09HY1921,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HY1921_1763521709774.jpg,KA09HT1928,rider_not_wearing_helmet (0.50),,,,Violation detected,Correct Detection,rider is not wearing the helmet,None,
KA09HS5224,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HS5224_1763522389808.jpg,A09HS5024,,,,triple_riding (0.55),Violation detected,Incomplete,rider and pillion not wearing helment and wrong number plate detected,None,
KA09EL1601,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EL1601_1763525020527.jpg,KA09L1601,rider_not_wearing_helmet (0.55),pillion_not_wearing_helmet (0.44),,,Violation detected,Incomplete,wrong number plate detected,None,
KA03EV9538,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA03EV9538_1763521419504.jpg,KA0OEV9538,,pillion_not_wearing_helmet (0.38),,,Violation detected,Incomplete,wrong number plate detected,None,
KA01ES2991,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01ES2991_1763523164198.jpg,KA0ES6991,rider_not_wearing_helmet (0.72),,,,Violation detected,Incomplete,rider not wearing helmet and number plate clearly not visible,None,
KA05EE4356,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA05EE4356_1763522389719.jpg,KA55E4356,rider_not_wearing_helmet (0.71),,,,Violation detected,Correct Detection,rider  not wearing helmet,None,
KA55J4501,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55J4501_1763525020543.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,rider wearing helmet,Correct,
KA09EL9706,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EL9706_1763521114949.jpg,KA09EL970,rider_not_wearing_helmet (0.75),pillion_not_wearing_helmet (0.44),,,Violation detected,Incomplete,number plate not detected correctly,None,
KA55Y5693,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55Y5693_1763521196661.jpg,KASSY5693,rider_not_wearing_helmet (0.27),,,,Violation detected,Wrong,rider wearing helmet and pillion not wearing helmet and number plate not detected correctly,None,
KA09HR8677,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HR8677_1763524381624.jpg,409HH8677,rider_not_wearing_helmet (0.61),,,,Violation detected,Incomplete,wrong number plate detected,None,
KA01ED2340,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01ED2340_1763521805892.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete, rider not wearing helmet and number plate not detected,Ignored,
KA09EG9119,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EG9119_1763523505972.jpg,KA05EG9119,,pillion_not_wearing_helmet (0.59); pillion_not_wearing_helmet (0.37),,,Violation detected,Incomplete,triple riding and  wrong number plate detected,None,
KA09JG9003,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JG9003_1763521805979.jpg,KA09JG900,,pillion_not_wearing_helmet (0.32),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09EZ3986,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EZ3986_1763523164252.jpg,KA09EZ3986,,pillion_not_wearing_helmet (0.53),,,Violation detected,Correct Detection,pillion not wearing helmet,None,
KA09HZ5171,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HZ5171_1763527203610.jpg,KA09H25171,rider_not_wearing_helmet (0.71),,,,Violation detected,Incomplete, wrong number plate detected and pillion not wearing helmet,None,
KA09JG9827,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09JG9827_1763521196661.jpg,KA09JG9827,rider_not_wearing_helmet (0.72),pillion_not_wearing_helmet (0.73),,,Violation detected,Correct Detection,both rider and pillion wearing the helmet,None,
KA09HP9191,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HP9191_1763524381813.jpg,,,,,,No violations detected - all riders wearing helmets properly,Correct Detection,rider wearing helmet,Correct,
KA09J7788,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09J7788_1763523506010.jpg,KA091T7787,,pillion_not_wearing_helmet (0.40),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09EA8826,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EA8826_1763523991785.jpg,KA09EA8826,rider_not_wearing_helmet (0.73),,,,Violation detected,Correct Detection,rider not wearing helmet,None,
KA55K4899,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55K4899_1763524616734.jpg,KA554899,rider_not_wearing_helmet (0.65),pillion_not_wearing_helmet (0.18),,,Violation detected,Incomplete,wrong number plate detected,None,
KA09HM3040,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HM3040_1763522671679.jpg,KA09HM3040,,,,triple_riding (0.71),Violation detected,Wrong,both rider and pillion not wearing helmet,None,
KA11Q6401,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA11Q6401_1763521419442.jpg,,,,,,No violations detected - all riders wearing helmets properly,Incomplete,both rider and pillion not wearing helmet,Ignored,
KA10Q7756,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA10Q7756_1763523400632.jpg,4107750,rider_not_wearing_helmet (0.58),pillion_not_wearing_helmet (0.52),,,Violation detected,Incomplete,wrong number plate detected and triple riding,None,
KA09ED2090,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09ED2090_1763521377418.jpg,KA09D2090,rider_not_wearing_helmet (0.44),,,,Violation detected,Incomplete,wrong number plate detected,None,
