number_plate,image_link,detected_number_plate,rider_violation,pillion_violation,mobile_usage,triple_riding,message
KA53EM3358,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA53EM3358_1763523746909.jpg,KA53EM3358,rider_not_wearing_helmet (0.43),,,,Violation detected
KA09JL9336,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09Y9336_1763523164197.jpg,KA09JL9336,,pillion_not_wearing_helmet (0.50),,,Violation detected
KA09HI9590,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H9590_1763525249057.jpg,KA09HI9590,rider_not_wearing_helmet (0.68),,,,Violation detected
KA09HI9590,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H9590_1763525249057.jpg,KA55H7385,,pillion_not_wearing_helmet (0.59),,,Violation detected
KA55H7385,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H9590_1763525249057.jpg,KA09HI9590,rider_not_wearing_helmet (0.68),,,,Violation detected
KA55H7385,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09H9590_1763525249057.jpg,KA55H7385,,pillion_not_wearing_helmet (0.59),,,Violation detected
,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HP4305_1763524381621.jpg,,,,,,No violations detected - all riders wearing helmets properly
,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA04HF3425_1763525020599.jpg,,,,,,No violations detected - all riders wearing helmets properly
KA09EO5107,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01EQ5101_1763525020617.jpg,KA09EO5107,,pillion_not_wearing_helmet (0.36),,,Violation detected
,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HE3610_1763531039872.jpg,,,,,,No violations detected - all riders wearing helmets properly
KA09EH2076,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EH4076_1763524721120.jpg,KA09EH2076,rider_not_wearing_helmet (0.68),,,,Violation detected
KA559W1266,e count,,,,,,Download error
KAOSEE8434,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EE8434_1763522671633.jpg,KA05EE8434,rider_not_wearing_helmet (0.62),,,,Violation detected
KA09EZ7883,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EZ4883_1763522097130.jpg,KA09EZ7883,,pillion_not_wearing_helmet (0.73),,,Violation detected
KA554390,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA55S4390_1763523505887.jpg,KA554390,,pillion_not_wearing_helmet (0.64),,,Violation detected
KA09HT1928,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HY1921_1763521709774.jpg,KA09HT1928,rider_not_wearing_helmet (0.50),,,,Violation detected
A09HS5024,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09HS5224_1763522389808.jpg,TS60S5024,rider_not_wearing_helmet (0.68),pillion_not_wearing_helmet (0.60),,,Violation detected
KA09L1601,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA09EL1601_1763525020527.jpg,KA09L1601,rider_not_wearing_helmet (0.55),pillion_not_wearing_helmet (0.44),,,Violation detected
KA0OEV9538,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA03EV9538_1763521419504.jpg,KA00EV9538,,pillion_not_wearing_helmet (0.38),,,Violation detected
KA0ES6991,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA01ES2991_1763523164198.jpg,KA0ES6991,rider_not_wearing_helmet (0.72),,,,Violation detected
KA55E4356,http://203.201.61.110:7274/violation_images/2025/Nov/19/KA05EE4356_1763522389719.jpg,KA55E4356,rider_not_wearing_helmet (0.71),,,,Violation detected
