number_plate,image_link,detected_number_plate,driver_violation,passenger_violation,message
KA53D9637,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53D9637_1764380876189.jpg,,,,No violation detected - all occupants wearing seatbelts
KA12Z4361,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA12Z4361_1764401305023.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09D2492,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09D2492_1764384110034.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03NH7041,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03NH7041_1764405163439.jpg,,,,No violation detected - all occupants wearing seatbelts
KA45A3451,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA45A3451_1764378970821.jpg,KA45A3451 (0.958),Driver_not_wearing_seatbelt (0.56),,Violation detected
KA09MH6080,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09MH6080_1764405163519.jpg,,,,No violation detected - all occupants wearing seatbelts
KA14Z9184,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA14Z9184_1764393762478.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09F5217,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA09F5217_1764404643249.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51AD6935,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51AD6935_1764379100373.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03NQ7070,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA03NQ7070_1764381258387.jpg,,,,No violation detected - all occupants wearing seatbelts
KA01AM4217,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA01AM4217_1764395796460.jpg,KA01AM4217 (0.901),Driver_not_wearing_seatbelt (0.72),,Violation detected
KA12MB4836,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA12MB4836_1764392763594.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51AG4224,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA51AG4224_1764403677609.jpg,,,,No violation detected - all occupants wearing seatbelts
KA10M5785,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA10M5785_1764406106590.jpg,KA10M5785 (0.991),,passenger_not_wearing_seatbelt (0.63),Violation detected
KA53MC1322,http://203.201.61.110:7274/violation_images/2025/Nov/29/KA53MC1322_1764382919449.jpg,KA53MC1322 (0.992),,passenger_not_wearing_seatbelt (0.66),Violation detected
KA20AB0984,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA20AB0984_1764305565203.jpg,,,,No violation detected - all occupants wearing seatbelts
KA03MR7097,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA03MR7097_1764297393113.jpg,,,,No violation detected - all occupants wearing seatbelts
KA51C7247,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA51C7247_1764294755793.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09AA3058,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09AA3058_1764292973661.jpg,,,,No violation detected - all occupants wearing seatbelts
KA09MC8827,http://203.201.61.110:7274/violation_images/2025/Nov/28/KA09MC8827_1764292973730.jpg,,,,No violation detected - all occupants wearing seatbelts
